periodo_mes,periodo_trimestre,fecha,anio,mes,trimestre
,2007T1,2007-01-01,2007,1,T1
,2007T2,2007-04-01,2007,4,T2
,2007T3,2007-07-01,2007,7,T3
,2007T4,2007-10-01,2007,10,T4
,2008T1,2008-01-01,2008,1,T1
,2008T2,2008-04-01,2008,4,T2
,2008T3,2008-07-01,2008,7,T3
,2008T4,2008-10-01,2008,10,T4
2009M1,2009T1,2009-01-01,2009,1,T1
2009M2,2009T1,2009-02-01,2009,2,T1
2009M3,2009T1,2009-03-01,2009,3,T1
2009M4,2009T2,2009-04-01,2009,4,T2
2009M5,2009T2,2009-05-01,2009,5,T2
2009M6,2009T2,2009-06-01,2009,6,T2
2009M7,2009T3,2009-07-01,2009,7,T3
2009M8,2009T3,2009-08-01,2009,8,T3
2009M9,2009T3,2009-09-01,2009,9,T3
2009M10,2009T4,2009-10-01,2009,10,T4
2009M11,2009T4,2009-11-01,2009,11,T4
2009M12,2009T4,2009-12-01,2009,12,T4
2010M1,2010T1,2010-01-01,2010,1,T1
2010M2,2010T1,2010-02-01,2010,2,T1
2010M3,2010T1,2010-03-01,2010,3,T1
2010M4,2010T2,2010-04-01,2010,4,T2
2010M5,2010T2,2010-05-01,2010,5,T2
2010M6,2010T2,2010-06-01,2010,6,T2
2010M7,2010T3,2010-07-01,2010,7,T3
2010M8,2010T3,2010-08-01,2010,8,T3
2010M9,2010T3,2010-09-01,2010,9,T3
2010M10,2010T4,2010-10-01,2010,10,T4
2010M11,2010T4,2010-11-01,2010,11,T4
2010M12,2010T4,2010-12-01,2010,12,T4
2011M1,2011T1,2011-01-01,2011,1,T1
2011M2,2011T1,2011-02-01,2011,2,T1
2011M3,2011T1,2011-03-01,2011,3,T1
2011M4,2011T2,2011-04-01,2011,4,T2
2011M5,2011T2,2011-05-01,2011,5,T2
2011M6,2011T2,2011-06-01,2011,6,T2
2011M7,2011T3,2011-07-01,2011,7,T3
2011M8,2011T3,2011-08-01,2011,8,T3
2011M9,2011T3,2011-09-01,2011,9,T3
2011M10,2011T4,2011-10-01,2011,10,T4
2011M11,2011T4,2011-11-01,2011,11,T4
2011M12,2011T4,2011-12-01,2011,12,T4
2012M1,2012T1,2012-01-01,2012,1,T1
2012M2,2012T1,2012-02-01,2012,2,T1
2012M3,2012T1,2012-03-01,2012,3,T1
2012M4,2012T2,2012-04-01,2012,4,T2
2012M5,2012T2,2012-05-01,2012,5,T2
2012M6,2012T2,2012-06-01,2012,6,T2
2012M7,2012T3,2012-07-01,2012,7,T3
2012M8,2012T3,2012-08-01,2012,8,T3
2012M9,2012T3,2012-09-01,2012,9,T3
2012M10,2012T4,2012-10-01,2012,10,T4
2012M11,2012T4,2012-11-01,2012,11,T4
2012M12,2012T4,2012-12-01,2012,12,T4
2013M1,2013T1,2013-01-01,2013,1,T1
2013M2,2013T1,2013-02-01,2013,2,T1
2013M3,2013T1,2013-03-01,2013,3,T1
2013M4,2013T2,2013-04-01,2013,4,T2
2013M5,2013T2,2013-05-01,2013,5,T2
2013M6,2013T2,2013-06-01,2013,6,T2
2013M7,2013T3,2013-07-01,2013,7,T3
2013M8,2013T3,2013-08-01,2013,8,T3
2013M9,2013T3,2013-09-01,2013,9,T3
2013M10,2013T4,2013-10-01,2013,10,T4
2013M11,2013T4,2013-11-01,2013,11,T4
2013M12,2013T4,2013-12-01,2013,12,T4
2014M1,2014T1,2014-01-01,2014,1,T1
2014M2,2014T1,2014-02-01,2014,2,T1
2014M3,2014T1,2014-03-01,2014,3,T1
2014M4,2014T2,2014-04-01,2014,4,T2
2014M5,2014T2,2014-05-01,2014,5,T2
2014M6,2014T2,2014-06-01,2014,6,T2
2014M7,2014T3,2014-07-01,2014,7,T3
2014M8,2014T3,2014-08-01,2014,8,T3
2014M9,2014T3,2014-09-01,2014,9,T3
2014M10,2014T4,2014-10-01,2014,10,T4
2014M11,2014T4,2014-11-01,2014,11,T4
2014M12,2014T4,2014-12-01,2014,12,T4
2015M1,2015T1,2015-01-01,2015,1,T1
2015M2,2015T1,2015-02-01,2015,2,T1
2015M3,2015T1,2015-03-01,2015,3,T1
2015M4,2015T2,2015-04-01,2015,4,T2
2015M5,2015T2,2015-05-01,2015,5,T2
2015M6,2015T2,2015-06-01,2015,6,T2
2015M7,2015T3,2015-07-01,2015,7,T3
2015M8,2015T3,2015-08-01,2015,8,T3
