comunidades_y_ciudades_autónomas,tipo_vivienda,tipo_indicador,periodo,total,fecha,año,mes,trimestre
01 Andalucia,General,Índice,2025T1,170.858,2025-01-01,2025,1,1
01 Andalucia,General,Índice,2024T4,165.457,2024-10-01,2024,10,4
01 Andalucia,General,Índice,2024T3,162.275,2024-07-01,2024,7,3
01 Andalucia,General,Índice,2024T2,156.273,2024-04-01,2024,4,2
01 Andalucia,General,Índice,2024T1,149.88,2024-01-01,2024,1,1
01 Andalucia,General,Índice,2023T4,145.927,2023-10-01,2023,10,4
01 Andalucia,General,Índice,2023T3,146.784,2023-07-01,2023,7,3
01 Andalucia,General,Índice,2023T2,142.672,2023-04-01,2023,4,2
01 Andalucia,General,Índice,2023T1,138.89,2023-01-01,2023,1,1
01 Andalucia,General,Índice,2022T4,138.587,2022-10-01,2022,10,4
01 Andalucia,General,Índice,2022T3,138.73,2022-07-01,2022,7,3
01 Andalucia,General,Índice,2022T2,136.525,2022-04-01,2022,4,2
01 Andalucia,General,Índice,2022T1,133.3,2022-01-01,2022,1,1
01 Andalucia,General,Índice,2021T4,130.178,2021-10-01,2021,10,4
01 Andalucia,General,Índice,2021T3,128.119,2021-07-01,2021,7,3
01 Andalucia,General,Índice,2021T2,123.878,2021-04-01,2021,4,2
01 Andalucia,General,Índice,2021T1,120.217,2021-01-01,2021,1,1
01 Andalucia,General,Índice,2020T4,120.518,2020-10-01,2020,10,4
01 Andalucia,General,Índice,2020T3,120.819,2020-07-01,2020,7,3
01 Andalucia,General,Índice,2020T2,119.613,2020-04-01,2020,4,2
01 Andalucia,General,Índice,2020T1,119.44,2020-01-01,2020,1,1
01 Andalucia,General,Índice,2019T4,118.553,2019-10-01,2019,10,4
01 Andalucia,General,Índice,2019T3,119.331,2019-07-01,2019,7,3
01 Andalucia,General,Índice,2019T2,116.842,2019-04-01,2019,4,2
01 Andalucia,General,Índice,2019T1,114.705,2019-01-01,2019,1,1
01 Andalucia,General,Índice,2018T4,113.831,2018-10-01,2018,10,4
01 Andalucia,General,Índice,2018T3,112.673,2018-07-01,2018,7,3
01 Andalucia,General,Índice,2018T2,110.695,2018-04-01,2018,4,2
01 Andalucia,General,Índice,2018T1,108.283,2018-01-01,2018,1,1
01 Andalucia,General,Índice,2017T4,107.763,2017-10-01,2017,10,4
01 Andalucia,General,Índice,2017T3,106.913,2017-07-01,2017,7,3
01 Andalucia,General,Índice,2017T2,105.676,2017-04-01,2017,4,2
01 Andalucia,General,Índice,2017T1,104.051,2017-01-01,2017,1,1
01 Andalucia,General,Índice,2016T4,103.142,2016-10-01,2016,10,4
01 Andalucia,General,Índice,2016T3,103.113,2016-07-01,2016,7,3
01 Andalucia,General,Índice,2016T2,103.201,2016-04-01,2016,4,2
01 Andalucia,General,Índice,2016T1,101.91,2016-01-01,2016,1,1
01 Andalucia,General,Índice,2015T4,101.029,2015-10-01,2015,10,4
01 Andalucia,General,Índice,2015T3,101.734,2015-07-01,2015,7,3
01 Andalucia,General,Índice,2015T2,100.6,2015-04-01,2015,4,2
01 Andalucia,General,Índice,2015T1,96.637,2015-01-01,2015,1,1
01 Andalucia,General,Índice,2014T4,98.094,2014-10-01,2014,10,4
01 Andalucia,General,Índice,2014T3,97.478,2014-07-01,2014,7,3
01 Andalucia,General,Índice,2014T2,97.214,2014-04-01,2014,4,2
01 Andalucia,General,Índice,2014T1,95.522,2014-01-01,2014,1,1
01 Andalucia,General,Índice,2013T4,96.389,2013-10-01,2013,10,4
01 Andalucia,General,Índice,2013T3,97.433,2013-07-01,2013,7,3
01 Andalucia,General,Índice,2013T2,96.563,2013-04-01,2013,4,2
01 Andalucia,General,Índice,2013T1,97.307,2013-01-01,2013,1,1
01 Andalucia,General,Índice,2012T4,102.861,2012-10-01,2012,10,4
01 Andalucia,General,Índice,2012T3,104.624,2012-07-01,2012,7,3
01 Andalucia,General,Índice,2012T2,106.719,2012-04-01,2012,4,2
01 Andalucia,General,Índice,2012T1,110.865,2012-01-01,2012,1,1
01 Andalucia,General,Índice,2011T4,116.257,2011-10-01,2011,10,4
01 Andalucia,General,Índice,2011T3,119.932,2011-07-01,2011,7,3
01 Andalucia,General,Índice,2011T2,122.836,2011-04-01,2011,4,2
01 Andalucia,General,Índice,2011T1,122.879,2011-01-01,2011,1,1
01 Andalucia,General,Índice,2010T4,126.862,2010-10-01,2010,10,4
01 Andalucia,General,Índice,2010T3,127.118,2010-07-01,2010,7,3
01 Andalucia,General,Índice,2010T2,130.094,2010-04-01,2010,4,2
01 Andalucia,General,Índice,2010T1,128.36,2010-01-01,2010,1,1
01 Andalucia,General,Índice,2009T4,129.541,2009-10-01,2009,10,4
01 Andalucia,General,Índice,2009T3,129.93,2009-07-01,2009,7,3
01 Andalucia,General,Índice,2009T2,130.679,2009-04-01,2009,4,2
01 Andalucia,General,Índice,2009T1,130.5,2009-01-01,2009,1,1
01 Andalucia,General,Índice,2008T4,131.847,2008-10-01,2008,10,4
01 Andalucia,General,Índice,2008T3,135.361,2008-07-01,2008,7,3
01 Andalucia,General,Índice,2008T2,135.178,2008-04-01,2008,4,2
01 Andalucia,General,Índice,2008T1,135.751,2008-01-01,2008,1,1
