Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,General,Índice,2025T1,170.858
01 Andalucía,General,Índice,2024T4,165.457
01 Andalucía,General,Índice,2024T3,162.275
01 Andalucía,General,Índice,2024T2,156.273
01 Andalucía,General,Índice,2024T1,149.88
01 Andalucía,General,Índice,2023T4,145.927
01 Andalucía,General,Índice,2023T3,146.784
01 Andalucía,General,Índice,2023T2,142.672
01 Andalucía,General,Índice,2023T1,138.89
01 Andalucía,General,Índice,2022T4,138.587
01 Andalucía,General,Índice,2022T3,138.73
01 Andalucía,General,Índice,2022T2,136.525
01 Andalucía,General,Índice,2022T1,133.3
01 Andalucía,General,Índice,2021T4,130.178
01 Andalucía,General,Índice,2021T3,128.119
01 Andalucía,General,Índice,2021T2,123.878
01 Andalucía,General,Índice,2021T1,120.217
01 Andalucía,General,Índice,2020T4,120.518
01 Andalucía,General,Índice,2020T3,120.819
01 Andalucía,General,Índice,2020T2,119.613
01 Andalucía,General,Índice,2020T1,119.44
01 Andalucía,General,Índice,2019T4,118.553
01 Andalucía,General,Índice,2019T3,119.331
01 Andalucía,General,Índice,2019T2,116.842
01 Andalucía,General,Índice,2019T1,114.705
01 Andalucía,General,Índice,2018T4,113.831
01 Andalucía,General,Índice,2018T3,112.673
01 Andalucía,General,Índice,2018T2,110.695
01 Andalucía,General,Índice,2018T1,108.283
01 Andalucía,General,Índice,2017T4,107.763
01 Andalucía,General,Índice,2017T3,106.913
01 Andalucía,General,Índice,2017T2,105.676
01 Andalucía,General,Índice,2017T1,104.051
01 Andalucía,General,Índice,2016T4,103.142
01 Andalucía,General,Índice,2016T3,103.113
01 Andalucía,General,Índice,2016T2,103.201
01 Andalucía,General,Índice,2016T1,101.91
01 Andalucía,General,Índice,2015T4,101.029
01 Andalucía,General,Índice,2015T3,101.734
01 Andalucía,General,Índice,2015T2,100.6
01 Andalucía,General,Índice,2015T1,96.637
01 Andalucía,General,Índice,2014T4,98.094
01 Andalucía,General,Índice,2014T3,97.478
01 Andalucía,General,Índice,2014T2,97.214
01 Andalucía,General,Índice,2014T1,95.522
01 Andalucía,General,Índice,2013T4,96.389
01 Andalucía,General,Índice,2013T3,97.433
01 Andalucía,General,Índice,2013T2,96.563
01 Andalucía,General,Índice,2013T1,97.307
01 Andalucía,General,Índice,2012T4,102.861
01 Andalucía,General,Índice,2012T3,104.624
01 Andalucía,General,Índice,2012T2,106.719
01 Andalucía,General,Índice,2012T1,110.865
01 Andalucía,General,Índice,2011T4,116.257
01 Andalucía,General,Índice,2011T3,119.932
01 Andalucía,General,Índice,2011T2,122.836
01 Andalucía,General,Índice,2011T1,122.879
01 Andalucía,General,Índice,2010T4,126.862
01 Andalucía,General,Índice,2010T3,127.118
01 Andalucía,General,Índice,2010T2,130.094
01 Andalucía,General,Índice,2010T1,128.36
01 Andalucía,General,Índice,2009T4,129.541
01 Andalucía,General,Índice,2009T3,129.93
01 Andalucía,General,Índice,2009T2,130.679
01 Andalucía,General,Índice,2009T1,130.5
01 Andalucía,General,Índice,2008T4,131.847
01 Andalucía,General,Índice,2008T3,135.361
01 Andalucía,General,Índice,2008T2,135.178
01 Andalucía,General,Índice,2008T1,135.751
01 Andalucía,General,Índice,2007T4,135.785
01 Andalucía,General,Índice,2007T3,133.943
01 Andalucía,General,Índice,2007T2,130.901
01 Andalucía,General,Índice,2007T1,127.081
01 Andalucía,General,Variación trimestral,2025T1,3.3
01 Andalucía,General,Variación trimestral,2024T4,2.0
01 Andalucía,General,Variación trimestral,2024T3,3.8
01 Andalucía,General,Variación trimestral,2024T2,4.3
01 Andalucía,General,Variación trimestral,2024T1,2.7
01 Andalucía,General,Variación trimestral,2023T4,-0.6
01 Andalucía,General,Variación trimestral,2023T3,2.9
01 Andalucía,General,Variación trimestral,2023T2,2.7
01 Andalucía,General,Variación trimestral,2023T1,0.2
01 Andalucía,General,Variación trimestral,2022T4,-0.1
01 Andalucía,General,Variación trimestral,2022T3,1.6
01 Andalucía,General,Variación trimestral,2022T2,2.4
01 Andalucía,General,Variación trimestral,2022T1,2.4
01 Andalucía,General,Variación trimestral,2021T4,1.6
01 Andalucía,General,Variación trimestral,2021T3,3.4
01 Andalucía,General,Variación trimestral,2021T2,3.0
01 Andalucía,General,Variación trimestral,2021T1,-0.2
01 Andalucía,General,Variación trimestral,2020T4,-0.2
01 Andalucía,General,Variación trimestral,2020T3,1.0
01 Andalucía,General,Variación trimestral,2020T2,0.1
01 Andalucía,General,Variación trimestral,2020T1,0.7
01 Andalucía,General,Variación trimestral,2019T4,-0.7
01 Andalucía,General,Variación trimestral,2019T3,2.1
01 Andalucía,General,Variación trimestral,2019T2,1.9
01 Andalucía,General,Variación trimestral,2019T1,0.8
01 Andalucía,General,Variación trimestral,2018T4,1.0
01 Andalucía,General,Variación trimestral,2018T3,1.8
01 Andalucía,General,Variación trimestral,2018T2,2.2
01 Andalucía,General,Variación trimestral,2018T1,0.5
01 Andalucía,General,Variación trimestral,2017T4,0.8
01 Andalucía,General,Variación trimestral,2017T3,1.2
01 Andalucía,General,Variación trimestral,2017T2,1.6
01 Andalucía,General,Variación trimestral,2017T1,0.9
01 Andalucía,General,Variación trimestral,2016T4,0.0
01 Andalucía,General,Variación trimestral,2016T3,-0.1
01 Andalucía,General,Variación trimestral,2016T2,1.3
01 Andalucía,General,Variación trimestral,2016T1,0.9
01 Andalucía,General,Variación trimestral,2015T4,-0.7
01 Andalucía,General,Variación trimestral,2015T3,1.1
01 Andalucía,General,Variación trimestral,2015T2,4.1
01 Andalucía,General,Variación trimestral,2015T1,-1.5
01 Andalucía,General,Variación trimestral,2014T4,0.6
01 Andalucía,General,Variación trimestral,2014T3,0.3
01 Andalucía,General,Variación trimestral,2014T2,1.8
01 Andalucía,General,Variación trimestral,2014T1,-0.9
01 Andalucía,General,Variación trimestral,2013T4,-1.1
01 Andalucía,General,Variación trimestral,2013T3,0.9
01 Andalucía,General,Variación trimestral,2013T2,-0.8
01 Andalucía,General,Variación trimestral,2013T1,-5.4
01 Andalucía,General,Variación trimestral,2012T4,-1.7
01 Andalucía,General,Variación trimestral,2012T3,-2.0
01 Andalucía,General,Variación trimestral,2012T2,-3.7
01 Andalucía,General,Variación trimestral,2012T1,-4.6
01 Andalucía,General,Variación trimestral,2011T4,-3.1
01 Andalucía,General,Variación trimestral,2011T3,-2.4
01 Andalucía,General,Variación trimestral,2011T2,0.0
01 Andalucía,General,Variación trimestral,2011T1,-3.1
01 Andalucía,General,Variación trimestral,2010T4,-0.2
01 Andalucía,General,Variación trimestral,2010T3,-2.3
01 Andalucía,General,Variación trimestral,2010T2,1.4
01 Andalucía,General,Variación trimestral,2010T1,-0.9
01 Andalucía,General,Variación trimestral,2009T4,-0.3
01 Andalucía,General,Variación trimestral,2009T3,-0.6
01 Andalucía,General,Variación trimestral,2009T2,0.1
01 Andalucía,General,Variación trimestral,2009T1,-1.0
01 Andalucía,General,Variación trimestral,2008T4,-2.6
01 Andalucía,General,Variación trimestral,2008T3,0.1
01 Andalucía,General,Variación trimestral,2008T2,-0.4
01 Andalucía,General,Variación trimestral,2008T1,0.0
01 Andalucía,General,Variación trimestral,2007T4,1.4
01 Andalucía,General,Variación trimestral,2007T3,2.3
01 Andalucía,General,Variación trimestral,2007T2,3.0
01 Andalucía,General,Variación trimestral,2007T1,4.0
01 Andalucía,General,Variación anual,2025T1,14.0
01 Andalucía,General,Variación anual,2024T4,13.4
01 Andalucía,General,Variación anual,2024T3,10.6
01 Andalucía,General,Variación anual,2024T2,9.5
01 Andalucía,General,Variación anual,2024T1,7.9
01 Andalucía,General,Variación anual,2023T4,5.3
01 Andalucía,General,Variación anual,2023T3,5.8
01 Andalucía,General,Variación anual,2023T2,4.5
01 Andalucía,General,Variación anual,2023T1,4.2
01 Andalucía,General,Variación anual,2022T4,6.5
01 Andalucía,General,Variación anual,2022T3,8.3
01 Andalucía,General,Variación anual,2022T2,10.2
01 Andalucía,General,Variación anual,2022T1,10.9
01 Andalucía,General,Variación anual,2021T4,8.0
01 Andalucía,General,Variación anual,2021T3,6.0
01 Andalucía,General,Variación anual,2021T2,3.6
01 Andalucía,General,Variación anual,2021T1,0.7
01 Andalucía,General,Variación anual,2020T4,1.7
01 Andalucía,General,Variación anual,2020T3,1.2
01 Andalucía,General,Variación anual,2020T2,2.4
01 Andalucía,General,Variación anual,2020T1,4.1
01 Andalucía,General,Variación anual,2019T4,4.1
01 Andalucía,General,Variación anual,2019T3,5.9
01 Andalucía,General,Variación anual,2019T2,5.6
01 Andalucía,General,Variación anual,2019T1,5.9
01 Andalucía,General,Variación anual,2018T4,5.6
01 Andalucía,General,Variación anual,2018T3,5.4
01 Andalucía,General,Variación anual,2018T2,4.8
01 Andalucía,General,Variación anual,2018T1,4.1
01 Andalucía,General,Variación anual,2017T4,4.5
01 Andalucía,General,Variación anual,2017T3,3.7
01 Andalucía,General,Variación anual,2017T2,2.4
01 Andalucía,General,Variación anual,2017T1,2.1
01 Andalucía,General,Variación anual,2016T4,2.1
01 Andalucía,General,Variación anual,2016T3,1.4
01 Andalucía,General,Variación anual,2016T2,2.6
01 Andalucía,General,Variación anual,2016T1,5.5
01 Andalucía,General,Variación anual,2015T4,3.0
01 Andalucía,General,Variación anual,2015T3,4.4
01 Andalucía,General,Variación anual,2015T2,3.5
01 Andalucía,General,Variación anual,2015T1,1.2
01 Andalucía,General,Variación anual,2014T4,1.8
01 Andalucía,General,Variación anual,2014T3,0.0
01 Andalucía,General,Variación anual,2014T2,0.7
01 Andalucía,General,Variación anual,2014T1,-1.8
01 Andalucía,General,Variación anual,2013T4,-6.3
01 Andalucía,General,Variación anual,2013T3,-6.9
01 Andalucía,General,Variación anual,2013T2,-9.5
01 Andalucía,General,Variación anual,2013T1,-12.2
01 Andalucía,General,Variación anual,2012T4,-11.5
01 Andalucía,General,Variación anual,2012T3,-12.8
01 Andalucía,General,Variación anual,2012T2,-13.1
01 Andalucía,General,Variación anual,2012T1,-9.8
01 Andalucía,General,Variación anual,2011T4,-8.4
01 Andalucía,General,Variación anual,2011T3,-5.7
01 Andalucía,General,Variación anual,2011T2,-5.6
01 Andalucía,General,Variación anual,2011T1,-4.3
01 Andalucía,General,Variación anual,2010T4,-2.1
01 Andalucía,General,Variación anual,2010T3,-2.2
01 Andalucía,General,Variación anual,2010T2,-0.4
01 Andalucía,General,Variación anual,2010T1,-1.6
01 Andalucía,General,Variación anual,2009T4,-1.7
01 Andalucía,General,Variación anual,2009T3,-4.0
01 Andalucía,General,Variación anual,2009T2,-3.3
01 Andalucía,General,Variación anual,2009T1,-3.9
01 Andalucía,General,Variación anual,2008T4,-2.9
01 Andalucía,General,Variación anual,2008T3,1.1
01 Andalucía,General,Variación anual,2008T2,3.3
01 Andalucía,General,Variación anual,2008T1,6.8
01 Andalucía,General,Variación anual,2007T4,11.1
01 Andalucía,General,Variación anual,2007T3,11.6
01 Andalucía,General,Variación anual,2007T2,12.8
01 Andalucía,General,Variación anual,2007T1,15.5
01 Andalucía,General,Variación en lo que va de año,2025T1,3.3
01 Andalucía,General,Variación en lo que va de año,2024T4,13.4
01 Andalucía,General,Variación en lo que va de año,2024T3,11.2
01 Andalucía,General,Variación en lo que va de año,2024T2,7.1
01 Andalucía,General,Variación en lo que va de año,2024T1,2.7
01 Andalucía,General,Variación en lo que va de año,2023T4,5.3
01 Andalucía,General,Variación en lo que va de año,2023T3,5.9
01 Andalucía,General,Variación en lo que va de año,2023T2,2.9
01 Andalucía,General,Variación en lo que va de año,2023T1,0.2
01 Andalucía,General,Variación en lo que va de año,2022T4,6.5
01 Andalucía,General,Variación en lo que va de año,2022T3,6.6
01 Andalucía,General,Variación en lo que va de año,2022T2,4.9
01 Andalucía,General,Variación en lo que va de año,2022T1,2.4
01 Andalucía,General,Variación en lo que va de año,2021T4,8.0
01 Andalucía,General,Variación en lo que va de año,2021T3,6.3
