Tipo de jornada,Comunidades y Ciudades Autónomas,Decil,Periodo,Total
Total,Total Nacional,Total decil,2023,2273.01
Total,Total Nacional,Total decil,2022,2118.79
Total,Total Nacional,Total decil,2021,2076.45
Total,Total Nacional,Total decil,2020,2038.59
Total,Total Nacional,Total decil,2019,1982.31
Total,Total Nacional,Total decil,2018,1944.42
Total,Total Nacional,Total decil,2017,1888.95
Total,Total Nacional,Total decil,2016,1878.09
Total,Total Nacional,Total decil,2015,1893.7
Total,Total Nacional,Total decil,2014,1881.32
Total,Total Nacional,Total decil,2013,1869.11
Total,Total Nacional,Total decil,2012,1850.26
Total,Total Nacional,Total decil,2011,1841.75
Total,Total Nacional,Total decil,2010,1838.82
Total,Total Nacional,Total decil,2009,1815.18
Total,Total Nacional,Total decil,2008,1774.34
Total,Total Nacional,Total decil,2007,1643.46
Total,Total Nacional,Total decil,2006,1572.59
Total,Total Nacional,1,2023,644.99
Total,Total Nacional,1,2022,619.71
Total,Total Nacional,1,2021,566.26
Total,Total Nacional,1,2020,521.33
Total,Total Nacional,1,2019,532.31
Total,Total Nacional,1,2018,479.9
Total,Total Nacional,1,2017,464.34
Total,Total Nacional,1,2016,462.72
Total,Total Nacional,1,2015,420.05
Total,Total Nacional,1,2014,411.17
Total,Total Nacional,1,2013,414.49
Total,Total Nacional,1,2012,425.57
Total,Total Nacional,1,2011,464.5
Total,Total Nacional,1,2010,482.43
Total,Total Nacional,1,2009,495.94
Total,Total Nacional,1,2008,501.25
Total,Total Nacional,1,2007,501.73
Total,Total Nacional,1,2006,474.18
Total,Total Nacional,2,2023,1209.64
Total,Total Nacional,2,2022,1132.22
Total,Total Nacional,2,2021,1033.87
Total,Total Nacional,2,2020,1006.63
Total,Total Nacional,2,2019,994.51
Total,Total Nacional,2,2018,904.87
Total,Total Nacional,2,2017,863.9
Total,Total Nacional,2,2016,856.88
Total,Total Nacional,2,2015,828.96
Total,Total Nacional,2,2014,819.61
Total,Total Nacional,2,2013,812.18
Total,Total Nacional,2,2012,840.19
Total,Total Nacional,2,2011,863.82
Total,Total Nacional,2,2010,893.11
Total,Total Nacional,2,2009,875.93
Total,Total Nacional,2,2008,888.73
Total,Total Nacional,2,2007,852.21
Total,Total Nacional,2,2006,800.67
Total,Total Nacional,3,2023,1434.13
Total,Total Nacional,3,2022,1338.81
Total,Total Nacional,3,2021,1256.84
Total,Total Nacional,3,2020,1236.99
Total,Total Nacional,3,2019,1222.45
Total,Total Nacional,3,2018,1156.51
Total,Total Nacional,3,2017,1121.9
Total,Total Nacional,3,2016,1118.31
Total,Total Nacional,3,2015,1102.14
Total,Total Nacional,3,2014,1100.85
Total,Total Nacional,3,2013,1103.32
Total,Total Nacional,3,2012,1121.65
Total,Total Nacional,3,2011,1128.86
Total,Total Nacional,3,2010,1141.96
Total,Total Nacional,3,2009,1120.03
Total,Total Nacional,3,2008,1113.37
Total,Total Nacional,3,2007,1060.66
Total,Total Nacional,3,2006,1006.02
Total,Total Nacional,4,2023,1631.57
Total,Total Nacional,4,2022,1523.08
Total,Total Nacional,4,2021,1454.95
Total,Total Nacional,4,2020,1423.4
Total,Total Nacional,4,2019,1418.13
Total,Total Nacional,4,2018,1357.44
Total,Total Nacional,4,2017,1323.0
Total,Total Nacional,4,2016,1325.36
Total,Total Nacional,4,2015,1310.96
Total,Total Nacional,4,2014,1315.48
Total,Total Nacional,4,2013,1318.7
Total,Total Nacional,4,2012,1322.12
Total,Total Nacional,4,2011,1309.99
Total,Total Nacional,4,2010,1316.31
Total,Total Nacional,4,2009,1290.22
Total,Total Nacional,4,2008,1267.34
Total,Total Nacional,4,2007,1203.8
Total,Total Nacional,4,2006,1144.23
Total,Total Nacional,5,2023,1833.97
Total,Total Nacional,5,2022,1708.65
Total,Total Nacional,5,2021,1652.67
Total,Total Nacional,5,2020,1606.91
Total,Total Nacional,5,2019,1595.3
Total,Total Nacional,5,2018,1546.73
Total,Total Nacional,5,2017,1497.73
Total,Total Nacional,5,2016,1498.22
Total,Total Nacional,5,2015,1497.67
Total,Total Nacional,5,2014,1502.97
Total,Total Nacional,5,2013,1503.02
Total,Total Nacional,5,2012,1492.68
Total,Total Nacional,5,2011,1484.84
Total,Total Nacional,5,2010,1478.49
Total,Total Nacional,5,2009,1443.59
Total,Total Nacional,5,2008,1411.69
Total,Total Nacional,5,2007,1337.14
Total,Total Nacional,5,2006,1270.35
Total,Total Nacional,6,2023,2059.54
Total,Total Nacional,6,2022,1913.09
Total,Total Nacional,6,2021,1865.71
Total,Total Nacional,6,2020,1816.81
Total,Total Nacional,6,2019,1793.56
Total,Total Nacional,6,2018,1752.61
Total,Total Nacional,6,2017,1698.01
Total,Total Nacional,6,2016,1703.87
Total,Total Nacional,6,2015,1703.73
Total,Total Nacional,6,2014,1715.14
Total,Total Nacional,6,2013,1703.65
Total,Total Nacional,6,2012,1685.43
Total,Total Nacional,6,2011,1678.8
Total,Total Nacional,6,2010,1667.4
Total,Total Nacional,6,2009,1627.28
Total,Total Nacional,6,2008,1577.72
Total,Total Nacional,6,2007,1491.6
Total,Total Nacional,6,2006,1418.54
Total,Total Nacional,7,2023,2356.69
Total,Total Nacional,7,2022,2181.84
Total,Total Nacional,7,2021,2147.95
Total,Total Nacional,7,2020,2107.38
