tipo_de_jornada,grupo_de_edad,decil,año,total
Total,Total,Total decil,2023,2273.01
Total,Total,Total decil,2022,2118.79
Total,Total,Total decil,2021,2076.45
Total,Total,Total decil,2020,2038.59
Total,Total,Total decil,2019,1982.31
Total,Total,Total decil,2018,1944.42
Total,Total,Total decil,2017,1888.95
Total,Total,Total decil,2016,1878.09
Total,Total,Total decil,2015,1893.7
Total,Total,Total decil,2014,1881.32
Total,Total,Total decil,2013,1869.11
Total,Total,Total decil,2012,1850.26
Total,Total,Total decil,2011,1841.75
Total,Total,Total decil,2010,1838.82
Total,Total,Total decil,2009,1815.18
Total,Total,Total decil,2008,1774.34
Total,Total,Total decil,2007,1643.46
Total,Total,Total decil,2006,1572.59
Total,Total,1,2023,644.99
Total,Total,1,2022,619.71
Total,Total,1,2021,566.26
Total,Total,1,2020,521.33
Total,Total,1,2019,532.31
Total,Total,1,2018,479.9
Total,Total,1,2017,464.34
Total,Total,1,2016,462.72
Total,Total,1,2015,420.05
Total,Total,1,2014,411.17
Total,Total,1,2013,414.49
Total,Total,1,2012,425.57
Total,Total,1,2011,464.5
Total,Total,1,2010,482.43
Total,Total,1,2009,495.94
Total,Total,1,2008,501.25
Total,Total,1,2007,501.73
Total,Total,1,2006,474.18
Total,Total,2,2023,1209.64
Total,Total,2,2022,1132.22
Total,Total,2,2021,1033.87
Total,Total,2,2020,1006.63
Total,Total,2,2019,994.51
Total,Total,2,2018,904.87
Total,Total,2,2017,863.9
Total,Total,2,2016,856.88
Total,Total,2,2015,828.96
Total,Total,2,2014,819.61
Total,Total,2,2013,812.18
Total,Total,2,2012,840.19
Total,Total,2,2011,863.82
Total,Total,2,2010,893.11
Total,Total,2,2009,875.93
Total,Total,2,2008,888.73
Total,Total,2,2007,852.21
Total,Total,2,2006,800.67
Total,Total,3,2023,1434.13
Total,Total,3,2022,1338.81
Total,Total,3,2021,1256.84
Total,Total,3,2020,1236.99
Total,Total,3,2019,1222.45
Total,Total,3,2018,1156.51
Total,Total,3,2017,1121.9
Total,Total,3,2016,1118.31
Total,Total,3,2015,1102.14
Total,Total,3,2014,1100.85
Total,Total,3,2013,1103.32
Total,Total,3,2012,1121.65
Total,Total,3,2011,1128.86
Total,Total,3,2010,1141.96
Total,Total,3,2009,1120.03
Total,Total,3,2008,1113.37
Total,Total,3,2007,1060.66
Total,Total,3,2006,1006.02
Total,Total,4,2023,1631.57
Total,Total,4,2022,1523.08
Total,Total,4,2021,1454.95
Total,Total,4,2020,1423.4
Total,Total,4,2019,1418.13
Total,Total,4,2018,1357.44
Total,Total,4,2017,1323.0
Total,Total,4,2016,1325.36
Total,Total,4,2015,1310.96
Total,Total,4,2014,1315.48
Total,Total,4,2013,1318.7
Total,Total,4,2012,1322.12
Total,Total,4,2011,1309.99
Total,Total,4,2010,1316.31
Total,Total,4,2009,1290.22
Total,Total,4,2008,1267.34
Total,Total,4,2007,1203.8
Total,Total,4,2006,1144.23
Total,Total,5,2023,1833.97
Total,Total,5,2022,1708.65
Total,Total,5,2021,1652.67
Total,Total,5,2020,1606.91
Total,Total,5,2019,1595.3
Total,Total,5,2018,1546.73
Total,Total,5,2017,1497.73
Total,Total,5,2016,1498.22
Total,Total,5,2015,1497.67
Total,Total,5,2014,1502.97
Total,Total,5,2013,1503.02
Total,Total,5,2012,1492.68
Total,Total,5,2011,1484.84
Total,Total,5,2010,1478.49
Total,Total,5,2009,1443.59
Total,Total,5,2008,1411.69
Total,Total,5,2007,1337.14
Total,Total,5,2006,1270.35
Total,Total,6,2023,2059.54
Total,Total,6,2022,1913.09
Total,Total,6,2021,1865.71
Total,Total,6,2020,1816.81
Total,Total,6,2019,1793.56
Total,Total,6,2018,1752.61
Total,Total,6,2017,1698.01
Total,Total,6,2016,1703.87
Total,Total,6,2015,1703.73
Total,Total,6,2014,1715.14
Total,Total,6,2013,1703.65
Total,Total,6,2012,1685.43
Total,Total,6,2011,1678.8
Total,Total,6,2010,1667.4
Total,Total,6,2009,1627.28
Total,Total,6,2008,1577.72
Total,Total,6,2007,1491.6
Total,Total,6,2006,1418.54
Total,Total,7,2023,2356.69
Total,Total,7,2022,2181.84
Total,Total,7,2021,2147.95
Total,Total,7,2020,2107.38
Total,Total,7,2019,2058.48
Total,Total,7,2018,2017.4
Total,Total,7,2017,1970.29
Total,Total,7,2016,1969.37
Total,Total,7,2015,1960.42
Total,Total,7,2014,1996.68
Total,Total,7,2013,1979.18
Total,Total,7,2012,1943.47
Total,Total,7,2011,1926.53
Total,Total,7,2010,1916.64
Total,Total,7,2009,1869.76
Total,Total,7,2008,1795.61
Total,Total,7,2007,1703.23
Total,Total,7,2006,1629.36
Total,Total,8,2023,2781.79
Total,Total,8,2022,2592.84
Total,Total,8,2021,2558.2
Total,Total,8,2020,2541.41
Total,Total,8,2019,2446.63
Total,Total,8,2018,2422.04
Total,Total,8,2017,2363.15
Total,Total,8,2016,2355.0
Total,Total,8,2015,2363.55
Total,Total,8,2014,2386.34
Total,Total,8,2013,2364.47
Total,Total,8,2012,2304.23
Total,Total,8,2011,2291.51
Total,Total,8,2010,2291.37
Total,Total,8,2009,2240.02
Total,Total,8,2008,2144.92
Total,Total,8,2007,2043.02
Total,Total,8,2006,1960.29
Total,Total,9,2023,3390.61
Total,Total,9,2022,3172.78
Total,Total,9,2021,3142.94
Total,Total,9,2020,3160.32
Total,Total,9,2019,3035.46
Total,Total,9,2018,3006.17
Total,Total,9,2017,2955.46
Total,Total,9,2016,2921.88
Total,Total,9,2015,2964.23
Total,Total,9,2014,2946.62
Total,Total,9,2013,2915.77
Total,Total,9,2012,2851.55
Total,Total,9,2011,2847.54
Total,Total,9,2010,2842.26
Total,Total,9,2009,2818.47
Total,Total,9,2008,2695.83
Total,Total,9,2007,2570.05
Total,Total,9,2006,2447.82
Total,Total,10,2023,5386.69
Total,Total,10,2022,5001.97
Total,Total,10,2021,5083.75
Total,Total,10,2020,4964.01
Total,Total,10,2019,4725.47
Total,Total,10,2018,4799.61
Total,Total,10,2017,4631.17
Total,Total,10,2016,4568.68
Total,Total,10,2015,4784.5
Total,Total,10,2014,4616.94
Total,Total,10,2013,4574.92
Total,Total,10,2012,4515.01
Total,Total,10,2011,4418.37
Total,Total,10,2010,4356.53
Total,Total,10,2009,4370.12
Total,Total,10,2008,4346.26
Total,Total,10,2007,3670.83
Total,Total,10,2006,3573.7
Total,De 16 a 24 años,Total decil,2023,1387.44
Total,De 16 a 24 años,Total decil,2022,1318.96
Total,De 16 a 24 años,Total decil,2021,1222.98
Total,De 16 a 24 años,Total decil,2020,1207.13
Total,De 16 a 24 años,Total decil,2019,1184.65
Total,De 16 a 24 años,Total decil,2018,1091.67
Total,De 16 a 24 años,Total decil,2017,1065.48
Total,De 16 a 24 años,Total decil,2016,1029.3
Total,De 16 a 24 años,Total decil,2015,1042.38
Total,De 16 a 24 años,Total decil,2014,1030.64
Total,De 16 a 24 años,Total decil,2013,1032.45
Total,De 16 a 24 años,Total decil,2012,1040.31
Total,De 16 a 24 años,Total decil,2011,1118.68
Total,De 16 a 24 años,Total decil,2010,1181.92
Total,De 16 a 24 años,Total decil,2009,1174.34
Total,De 16 a 24 años,Total decil,2008,1173.55
Total,De 16 a 24 años,Total decil,2007,1138.2
Total,De 16 a 24 años,Total decil,2006,1083.59
Total,De 16 a 24 años,1,2023,613.41
Total,De 16 a 24 años,1,2022,597.25
Total,De 16 a 24 años,1,2021,551.62
Total,De 16 a 24 años,1,2020,509.81
Total,De 16 a 24 años,1,2019,522.05
Total,De 16 a 24 años,1,2018,476.39
Total,De 16 a 24 años,1,2017,443.49
Total,De 16 a 24 años,1,2016,461.59
Total,De 16 a 24 años,1,2015,427.02
Total,De 16 a 24 años,1,2014,396.44
Total,De 16 a 24 años,1,2013,421.5
Total,De 16 a 24 años,1,2012,429.99
Total,De 16 a 24 años,1,2011,473.55
Total,De 16 a 24 años,1,2010,492.79
Total,De 16 a 24 años,1,2009,474.22
Total,De 16 a 24 años,1,2008,501.35
Total,De 16 a 24 años,1,2007,504.63
Total,De 16 a 24 años,1,2006,471.22
Total,De 16 a 24 años,2,2023,1212.62
Total,De 16 a 24 años,2,2022,1120.25
Total,De 16 a 24 años,2,2021,1028.55
Total,De 16 a 24 años,2,2020,1000.28
Total,De 16 a 24 años,2,2019,996.99
Total,De 16 a 24 años,2,2018,892.55
Total,De 16 a 24 años,2,2017,853.85
Total,De 16 a 24 años,2,2016,840.2
Total,De 16 a 24 años,2,2015,823.29
Total,De 16 a 24 años,2,2014,803.43
Total,De 16 a 24 años,2,2013,796.26
Total,De 16 a 24 años,2,2012,825.6
Total,De 16 a 24 años,2,2011,863.34
Total,De 16 a 24 años,2,2010,882.46
Total,De 16 a 24 años,2,2009,875.28
Total,De 16 a 24 años,2,2008,883.94
Total,De 16 a 24 años,2,2007,843.17
Total,De 16 a 24 años,2,2006,795.65
Total,De 16 a 24 años,3,2023,1429.32
Total,De 16 a 24 años,3,2022,1342.57
Total,De 16 a 24 años,3,2021,1252.4
Total,De 16 a 24 años,3,2020,1238.38
Total,De 16 a 24 años,3,2019,1212.09
Total,De 16 a 24 años,3,2018,1153.27
Total,De 16 a 24 años,3,2017,1114.39
Total,De 16 a 24 años,3,2016,1114.19
Total,De 16 a 24 años,3,2015,1096.95
Total,De 16 a 24 años,3,2014,1083.98
Total,De 16 a 24 años,3,2013,1093.8
Total,De 16 a 24 años,3,2012,1123.74
Total,De 16 a 24 años,3,2011,1125.75
Total,De 16 a 24 años,3,2010,1144.85
Total,De 16 a 24 años,3,2009,1118.3
Total,De 16 a 24 años,3,2008,1114.39
Total,De 16 a 24 años,3,2007,1059.9
Total,De 16 a 24 años,3,2006,1006.01
Total,De 16 a 24 años,4,2023,1633.03
Total,De 16 a 24 años,4,2022,1525.18
Total,De 16 a 24 años,4,2021,1448.8
Total,De 16 a 24 años,4,2020,1428.67
Total,De 16 a 24 años,4,2019,1415.68
Total,De 16 a 24 años,4,2018,1359.53
Total,De 16 a 24 años,4,2017,1319.65
Total,De 16 a 24 años,4,2016,1326.07
Total,De 16 a 24 años,4,2015,1305.54
Total,De 16 a 24 años,4,2014,1317.26
Total,De 16 a 24 años,4,2013,1312.95
Total,De 16 a 24 años,4,2012,1313.41
Total,De 16 a 24 años,4,2011,1310.41
Total,De 16 a 24 años,4,2010,1315.62
Total,De 16 a 24 años,4,2009,1286.99
Total,De 16 a 24 años,4,2008,1267.04
Total,De 16 a 24 años,4,2007,1199.14
Total,De 16 a 24 años,4,2006,1141.12
Total,De 16 a 24 años,5,2023,1834.61
Total,De 16 a 24 años,5,2022,1707.72
Total,De 16 a 24 años,5,2021,1649.37
Total,De 16 a 24 años,5,2020,1593.18
Total,De 16 a 24 años,5,2019,1599.01
Total,De 16 a 24 años,5,2018,1552.86
Total,De 16 a 24 años,5,2017,1503.22
Total,De 16 a 24 años,5,2016,1502.09
Total,De 16 a 24 años,5,2015,1497.05
Total,De 16 a 24 años,5,2014,1497.12
Total,De 16 a 24 años,5,2013,1498.19
Total,De 16 a 24 años,5,2012,1483.08
Total,De 16 a 24 años,5,2011,1479.52
Total,De 16 a 24 años,5,2010,1470.4
Total,De 16 a 24 años,5,2009,1437.46
Total,De 16 a 24 años,5,2008,1405.86
Total,De 16 a 24 años,5,2007,1335.31
Total,De 16 a 24 años,5,2006,1268.86
Total,De 16 a 24 años,6,2023,2046.22
Total,De 16 a 24 años,6,2022,1917.15
Total,De 16 a 24 años,6,2021,1854.28
Total,De 16 a 24 años,6,2020,1804.4
Total,De 16 a 24 años,6,2019,1788.57
Total,De 16 a 24 años,6,2018,1731.77
Total,De 16 a 24 años,6,2017,1685.08
Total,De 16 a 24 años,6,2016,1695.34
Total,De 16 a 24 años,6,2015,1695.5
Total,De 16 a 24 años,6,2014,1710.34
Total,De 16 a 24 años,6,2013,1701.45
Total,De 16 a 24 años,6,2012,1682.91
Total,De 16 a 24 años,6,2011,1668.3
Total,De 16 a 24 años,6,2010,1656.3
Total,De 16 a 24 años,6,2009,1618.23
Total,De 16 a 24 años,6,2008,1578.47
Total,De 16 a 24 años,6,2007,1492.01
Total,De 16 a 24 años,6,2006,1412.47
Total,De 16 a 24 años,7,2023,2351.75
Total,De 16 a 24 años,7,2022,2160.51
Total,De 16 a 24 años,7,2021,2134.98
Total,De 16 a 24 años,7,2020,2083.94
Total,De 16 a 24 años,7,2019,2061.56
Total,De 16 a 24 años,7,2018,2020.95
Total,De 16 a 24 años,7,2017,1965.74
Total,De 16 a 24 años,7,2016,1968.61
Total,De 16 a 24 años,7,2015,1959.44
Total,De 16 a 24 años,7,2014,1981.08
Total,De 16 a 24 años,7,2013,1952.04
Total,De 16 a 24 años,7,2012,1963.03
Total,De 16 a 24 años,7,2011,1914.13
Total,De 16 a 24 años,7,2010,1914.48
Total,De 16 a 24 años,7,2009,1855.21
Total,De 16 a 24 años,7,2008,1783.11
Total,De 16 a 24 años,7,2007,1689.03
Total,De 16 a 24 años,7,2006,1628.43
Total,De 16 a 24 años,8,2023,2773.03
Total,De 16 a 24 años,8,2022,2592.39
Total,De 16 a 24 años,8,2021,2542.76
Total,De 16 a 24 años,8,2020,2540.32
Total,De 16 a 24 años,8,2019,2460.7
Total,De 16 a 24 años,8,2018,2376.74
Total,De 16 a 24 años,8,2017,2327.02
Total,De 16 a 24 años,8,2016,2331.29
Total,De 16 a 24 años,8,2015,2307.73
Total,De 16 a 24 años,8,2014,2334.11
Total,De 16 a 24 años,8,2013,2330.34
Total,De 16 a 24 años,8,2012,2322.86
Total,De 16 a 24 años,8,2011,2255.63
Total,De 16 a 24 años,8,2010,2286.62
Total,De 16 a 24 años,8,2009,2222.48
Total,De 16 a 24 años,8,2008,2138.04
Total,De 16 a 24 años,8,2007,2048.21
Total,De 16 a 24 años,8,2006,1945.51
Total,De 16 a 24 años,9,2023,3350.77
Total,De 16 a 24 años,9,2022,3095.1
Total,De 16 a 24 años,9,2021,3026.91
Total,De 16 a 24 años,9,2020,3080.95
Total,De 16 a 24 años,9,2019,2939.27
