comunidades_y_ciudades_autónomas,año,precio_m2,total,salario_mensual,esfuerzo_m2_mensual
01 Andalucia,2023,2078,2100.74,2100.74,0.99
02 Aragon,2023,1417,2243.79,2243.79,0.63
"03 Asturias, Principado De",2023,1371,2228.49,2228.49,0.62
"04 Balears, Illes",2023,4083,2237.14,2237.14,1.83
05 Canarias,2023,2432,1987.86,1987.86,1.22
06 Cantabria,2023,1572,2317.04,2317.04,0.68
07 Castilla Y Leon,2023,1176,2176.53,2176.53,0.54
08 Castilla-La Mancha,2023,917,2025.23,2025.23,0.45
09 Cataluna,2023,2339,2439.14,2439.14,0.96
18 Ceuta,2023,2187,2284.51,2284.51,0.96
10 Comunitat Valenciana,2023,1776,2079.92,2079.92,0.85
16 Pais Vasco,2023,2864,2624.29,2624.29,1.09
11 Extremadura,2023,959,1915.94,1915.94,0.5
12 Galicia,2023,1375,2136.06,2136.06,0.64
"17 Rioja, La",2023,1327,2248.91,2248.91,0.59
"13 Madrid, Comunidad De",2023,3208,2575.46,2575.46,1.25
19 Melilla,2023,1934,2363.31,2363.31,0.82
"14 Murcia, Region De",2023,1186,2027.22,2027.22,0.59
"15 Navarra, Comunidad Foral De",2023,1687,2515.65,2515.65,0.67
01 Andalucia,2022,1891,1906.75,1906.75,0.99
02 Aragon,2022,1333,2040.78,2040.78,0.65
"03 Asturias, Principado De",2022,1343,2096.68,2096.68,0.64
"04 Balears, Illes",2022,3625,2305.8,2305.8,1.57
05 Canarias,2022,2099,1879.64,1879.64,1.12
06 Cantabria,2022,1500,2125.91,2125.91,0.71
07 Castilla Y Leon,2022,1137,2061.34,2061.34,0.55
08 Castilla-La Mancha,2022,889,1954.64,1954.64,0.45
09 Cataluna,2022,2295,2261.48,2261.48,1.01
18 Ceuta,2022,2124,2169.51,2169.51,0.98
10 Comunitat Valenciana,2022,1596,1937.41,1937.41,0.82
16 Pais Vasco,2022,2773,2517.86,2517.86,1.1
11 Extremadura,2022,943,1841.24,1841.24,0.51
12 Galicia,2022,1338,2038.64,2038.64,0.66
"17 Rioja, La",2022,1260,2084.8,2084.8,0.6
"13 Madrid, Comunidad De",2022,3062,2374.47,2374.47,1.29
19 Melilla,2022,1885,2169.73,2169.73,0.87
"14 Murcia, Region De",2022,1080,1865.59,1865.59,0.58
"15 Navarra, Comunidad Foral De",2022,1568,2292.48,2292.48,0.68
01 Andalucia,2021,1778,1864.47,1864.47,0.95
02 Aragon,2021,1319,1975.33,1975.33,0.67
"03 Asturias, Principado De",2021,1336,2083.62,2083.62,0.64
"04 Balears, Illes",2021,3291,2066.16,2066.16,1.59
05 Canarias,2021,1966,1954.82,1954.82,1.01
06 Cantabria,2021,1465,2064.82,2064.82,0.71
07 Castilla Y Leon,2021,1148,1990.29,1990.29,0.58
08 Castilla-La Mancha,2021,879,1926.09,1926.09,0.46
09 Cataluna,2021,2277,2174.76,2174.76,1.05
18 Ceuta,2021,2084,2243.91,2243.91,0.93
10 Comunitat Valenciana,2021,1479,1945.28,1945.28,0.76
16 Pais Vasco,2021,2690,2440.75,2440.75,1.1
11 Extremadura,2021,941,1628.24,1628.24,0.58
12 Galicia,2021,1328,1992.33,1992.33,0.67
"17 Rioja, La",2021,1265,1949.05,1949.05,0.65
"13 Madrid, Comunidad De",2021,2897,2358.31,2358.31,1.23
19 Melilla,2021,1842,2122.12,2122.12,0.87
"14 Murcia, Region De",2021,1063,1878.0,1878.0,0.57
"15 Navarra, Comunidad Foral De",2021,1484,2280.39,2280.39,0.65
01 Andalucia,2020,1660,1837.33,1837.33,0.9
02 Aragon,2020,1318,1972.37,1972.37,0.67
"03 Asturias, Principado De",2020,1346,2161.47,2161.47,0.62
"04 Balears, Illes",2020,3091,1844.85,1844.85,1.68
05 Canarias,2020,1867,1775.71,1775.71,1.05
06 Cantabria,2020,1448,1940.99,1940.99,0.75
07 Castilla Y Leon,2020,1135,1950.49,1950.49,0.58
08 Castilla-La Mancha,2020,868,1892.26,1892.26,0.46
09 Cataluna,2020,2244,2158.15,2158.15,1.04
18 Ceuta,2020,2246,2257.24,2257.24,1.0
10 Comunitat Valenciana,2020,1413,1920.66,1920.66,0.74
16 Pais Vasco,2020,2641,2278.82,2278.82,1.16
11 Extremadura,2020,921,1760.52,1760.52,0.52
12 Galicia,2020,1327,1941.92,1941.92,0.68
"17 Rioja, La",2020,1240,1947.27,1947.27,0.64
"13 Madrid, Comunidad De",2020,2774,2350.19,2350.19,1.18
19 Melilla,2020,1777,2662.64,2662.64,0.67
"14 Murcia, Region De",2020,1048,1843.41,1843.41,0.57
"15 Navarra, Comunidad Foral De",2020,1451,2209.2,2209.2,0.66
