comunidades_y_ciudades_autónomas;año;precio_m2;salario_mensual_joven;esfuerzo_m2_joven;salario_mensual_general;esfuerzo_m2_general
01 Andalucia;2023;2078;2011.46;1.03;2100.74;0.99
02 Aragon;2023;1417;2011.46;0.7;2243.79;0.63
03 Asturias, Principado De;2023;1371;2011.46;0.68;2228.49;0.62
04 Balears, Illes;2023;4083;2011.46;2.03;2237.14;1.83
05 Canarias;2023;2432;2011.46;1.21;1987.86;1.22
06 Cantabria;2023;1572;2011.46;0.78;2317.04;0.68
07 Castilla Y Leon;2023;1176;2011.46;0.58;2176.53;0.54
08 Castilla-La Mancha;2023;917;2011.46;0.46;2025.23;0.45
09 Cataluna;2023;2339;2011.46;1.16;2439.14;0.96
18 Ceuta;2023;2187;2011.46;1.09;2284.51;0.96
10 Comunitat Valenciana;2023;1776;2011.46;0.88;2079.92;0.85
16 Pais Vasco;2023;2864;2011.46;1.42;2624.29;1.09
11 Extremadura;2023;959;2011.46;0.48;1915.94;0.5
12 Galicia;2023;1375;2011.46;0.68;2136.06;0.64
17 Rioja, La;2023;1327;2011.46;0.66;2248.91;0.59
13 Madrid, Comunidad De;2023;3208;2011.46;1.59;2575.46;1.25
19 Melilla;2023;1934;2011.46;0.96;2363.31;0.82
14 Murcia, Region De;2023;1186;2011.46;0.59;2027.22;0.59
15 Navarra, Comunidad Foral De;2023;1687;2011.46;0.84;2515.65;0.67
01 Andalucia;2022;1891;1836.99;1.03;1906.75;0.99
02 Aragon;2022;1333;1836.99;0.73;2040.78;0.65
03 Asturias, Principado De;2022;1343;1836.99;0.73;2096.68;0.64
04 Balears, Illes;2022;3625;1836.99;1.97;2305.8;1.57
05 Canarias;2022;2099;1836.99;1.14;1879.64;1.12
06 Cantabria;2022;1500;1836.99;0.82;2125.91;0.71
07 Castilla Y Leon;2022;1137;1836.99;0.62;2061.34;0.55
08 Castilla-La Mancha;2022;889;1836.99;0.48;1954.64;0.45
09 Cataluna;2022;2295;1836.99;1.25;2261.48;1.01
18 Ceuta;2022;2124;1836.99;1.16;2169.51;0.98
10 Comunitat Valenciana;2022;1596;1836.99;0.87;1937.41;0.82
16 Pais Vasco;2022;2773;1836.99;1.51;2517.86;1.1
11 Extremadura;2022;943;1836.99;0.51;1841.24;0.51
12 Galicia;2022;1338;1836.99;0.73;2038.64;0.66
17 Rioja, La;2022;1260;1836.99;0.69;2084.8;0.6
13 Madrid, Comunidad De;2022;3062;1836.99;1.67;2374.47;1.29
19 Melilla;2022;1885;1836.99;1.03;2169.73;0.87
14 Murcia, Region De;2022;1080;1836.99;0.59;1865.59;0.58
15 Navarra, Comunidad Foral De;2022;1568;1836.99;0.85;2292.48;0.68
01 Andalucia;2021;1778;1765.31;1.01;1864.47;0.95
02 Aragon;2021;1319;1765.31;0.75;1975.33;0.67
03 Asturias, Principado De;2021;1336;1765.31;0.76;2083.62;0.64
04 Balears, Illes;2021;3291;1765.31;1.86;2066.16;1.59
05 Canarias;2021;1966;1765.31;1.11;1954.82;1.01
06 Cantabria;2021;1465;1765.31;0.83;2064.82;0.71
07 Castilla Y Leon;2021;1148;1765.31;0.65;1990.29;0.58
08 Castilla-La Mancha;2021;879;1765.31;0.5;1926.09;0.46
09 Cataluna;2021;2277;1765.31;1.29;2174.76;1.05
18 Ceuta;2021;2084;1765.31;1.18;2243.91;0.93
10 Comunitat Valenciana;2021;1479;1765.31;0.84;1945.28;0.76
16 Pais Vasco;2021;2690;1765.31;1.52;2440.75;1.1
11 Extremadura;2021;941;1765.31;0.53;1628.24;0.58
12 Galicia;2021;1328;1765.31;0.75;1992.33;0.67
17 Rioja, La;2021;1265;1765.31;0.72;1949.05;0.65
13 Madrid, Comunidad De;2021;2897;1765.31;1.64;2358.31;1.23
19 Melilla;2021;1842;1765.31;1.04;2122.12;0.87
14 Murcia, Region De;2021;1063;1765.31;0.6;1878.0;0.57
15 Navarra, Comunidad Foral De;2021;1484;1765.31;0.84;2280.39;0.65
01 Andalucia;2020;1660;1723.71;0.96;1837.33;0.9
02 Aragon;2020;1318;1723.71;0.76;1972.37;0.67
03 Asturias, Principado De;2020;1346;1723.71;0.78;2161.47;0.62
04 Balears, Illes;2020;3091;1723.71;1.79;1844.85;1.68
05 Canarias;2020;1867;1723.71;1.08;1775.71;1.05
06 Cantabria;2020;1448;1723.71;0.84;1940.99;0.75
07 Castilla Y Leon;2020;1135;1723.71;0.66;1950.49;0.58
08 Castilla-La Mancha;2020;868;1723.71;0.5;1892.26;0.46
09 Cataluna;2020;2244;1723.71;1.3;2158.15;1.04
18 Ceuta;2020;2246;1723.71;1.3;2257.24;1.0
10 Comunitat Valenciana;2020;1413;1723.71;0.82;1920.66;0.74
16 Pais Vasco;2020;2641;1723.71;1.53;2278.82;1.16
11 Extremadura;2020;921;1723.71;0.53;1760.52;0.52
12 Galicia;2020;1327;1723.71;0.77;1941.92;0.68
17 Rioja, La;2020;1240;1723.71;0.72;1947.27;0.64
13 Madrid, Comunidad De;2020;2774;1723.71;1.61;2350.19;1.18
19 Melilla;2020;1777;1723.71;1.03;2662.64;0.67
14 Murcia, Region De;2020;1048;1723.71;0.61;1843.41;0.57
15 Navarra, Comunidad Foral De;2020;1451;1723.71;0.84;2209.2;0.66
