comunidades_y_ciudades_autónomas;año;precio_m2;salario_mensual_joven;superficie_util;metros_posibles;diferencia_m2
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Total;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Menos de 46 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 46 y 75 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 76 y 105 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 76 y 105 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 76 y 105 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 76 y 105 m2;1.04;1.04
01 Andalucia;2020;1660;1723.71;Entre 76 y 105 m2;1.04;1.04
