Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Andalucía,2.468 €/m2,"0,018","0,053","0,143",2.468 €/m2 mayo 2025,"0,0 %",mayo 2025
Almería provincia,1.336 €/m2,"0,015","0,046","0,072",1.868 €/m2 jul 2006,"- 28,5 %",mayo 2025
Almería,1.537 €/m2,"0,017","0,056","0,088",2.257 €/m2 sep 2008,"- 31,9 %",mayo 2025
Cádiz provincia,2.066 €/m2,"0,019","0,047","0,125",2.272 €/m2 abr 2007,"- 9,1 %",mayo 2025
Cádiz,3.029 €/m2,"0,0 %","0,023","0,073",3.035 €/m2 dic 2024,"- 0,2 %",mayo 2025
Córdoba provincia,1.232 €/m2,"0,008","0,022","- 0,5 %",1.801 €/m2 nov 2007,"- 31,6 %",mayo 2025
Córdoba,1.586 €/m2,"0,007","0,03","0,068",2.178 €/m2 dic 2007,"- 27,2 %",mayo 2025
Granada provincia,1.573 €/m2,"0,01","0,04","0,096",1.782 €/m2 mayo 2007,"- 11,7 %",mayo 2025
Granada,2.422 €/m2,"0,019","0,043","0,143",2.422 €/m2 mayo 2025,"0,0 %",mayo 2025
Huelva provincia,1.556 €/m2,"0,008","0,045","0,094",1.919 €/m2 sep 2007,"- 18,9 %",mayo 2025
Huelva,1.475 €/m2,"0,0 %","0,034","0,117",1.678 €/m2 mayo 2008,"- 12,1 %",mayo 2025
Jaén provincia,833 €/m2,"0,01","0,004","- 0,5 %",1.320 €/m2 sep 2007,"- 36,9 %",mayo 2025
Jaén,1.240 €/m2,"0,021","0,019","0,064",1.672 €/m2 oct 2008,"- 25,9 %",mayo 2025
Málaga provincia,3.718 €/m2,"0,013","0,043","0,153",3.718 €/m2 mayo 2025,"0,0 %",mayo 2025
Málaga,3.427 €/m2,"0,014","0,038","0,174",3.427 €/m2 mayo 2025,"0,0 %",mayo 2025
Sevilla provincia,1.695 €/m2,"0,014","0,054","0,069",1.970 €/m2 mar 2008,"- 14,0 %",mayo 2025
Sevilla,2.644 €/m2,"0,013","0,06","0,141",2.646 €/m2 sep 2007,"- 0,1 %",mayo 2025
Aragón,1.469 €/m2,"- 0,2 %","0,029","0,028",2.008 €/m2 mar 2007,"- 26,8 %",mayo 2025
Huesca provincia,1.593 €/m2,"0,0 %","0,009","0,042",2.246 €/m2 ago 2007,"- 29,1 %",mayo 2025
Huesca,1.736 €/m2,"0,058","0,05","0,023",1.738 €/m2 mar 2011,"- 0,1 %",mayo 2025
Teruel provincia,914 €/m2,"- 1,3 %","- 1,3 %","- 1,9 %",1.118 €/m2 jun 2008,"- 18,3 %",mayo 2025
Teruel,1.487 €/m2,"- 3,4 %","0,018","0,059",1.660 €/m2 nov 2010,"- 10,4 %",mayo 2025
Zaragoza provincia,1.504 €/m2,"- 0,1 %","0,041","0,033",2.135 €/m2 mayo 2007,"- 29,6 %",mayo 2025
Zaragoza,2.045 €/m2,"0,016","0,057","0,128",2.787 €/m2 dic 2007,"- 26,6 %",mayo 2025
Asturias,1.538 €/m2,"0,017","0,054","0,109",1.867 €/m2 abr 2008,"- 17,6 %",mayo 2025
Asturias,1.538 €/m2,"0,017","0,054","0,109",1.867 €/m2 abr 2008,"- 17,6 %",mayo 2025
Oviedo,2.021 €/m2,"0,027","0,068","0,186",2.179 €/m2 ene 2009,"- 7,3 %",mayo 2025
Baleares,4.905 €/m2,"0,014","0,024","0,135",4.905 €/m2 mayo 2025,"0,0 %",mayo 2025
Baleares,4.905 €/m2,"0,014","0,024","0,135",4.905 €/m2 mayo 2025,"0,0 %",mayo 2025
Palma de Mallorca,4.772 €/m2,"0,017","0,029","0,173",4.772 €/m2 mayo 2025,"0,0 %",mayo 2025
Canarias,3.039 €/m2,"0,019","0,04","0,182",3.039 €/m2 mayo 2025,"0,0 %",mayo 2025
Las Palmas,2.778 €/m2,"0,022","0,037","0,151",2.778 €/m2 mayo 2025,"0,0 %",mayo 2025
Las Palmas de Gran Canaria,2.507 €/m2,"0,028","0,046","0,108",2.507 €/m2 mayo 2025,"0,0 %",mayo 2025
Santa Cruz de Tenerife provincia,3.224 €/m2,"0,016","0,039","0,194",3.224 €/m2 mayo 2025,"0,0 %",mayo 2025
Cantabria,1.841 €/m2,"0,019","0,054","0,132",2.010 €/m2 feb 2008,"- 8,4 %",mayo 2025
Cantabria,1.841 €/m2,"0,019","0,054","0,132",2.010 €/m2 feb 2008,"- 8,4 %",mayo 2025
Santander,2.727 €/m2,"0,026","0,048","0,2",2.727 €/m2 mayo 2025,"0,0 %",mayo 2025
Castilla y León,1.216 €/m2,"0,002","0,017","0,023",1.481 €/m2 jun 2011,"- 17,9 %",mayo 2025
Ávila provincia,960 €/m2,"0,016","0,028","0,072",1.266 €/m2 mar 2008,"- 24,2 %",mayo 2025
Ávila,1.428 €/m2,"- 0,3 %","0,042","0,123",1.744 €/m2 jul 2008,"- 18,1 %",mayo 2025
Burgos provincia,1.200 €/m2,"- 0,7 %","0,0 %","- 1,1 %",1.655 €/m2 sep 2011,"- 27,5 %",mayo 2025
Burgos,1.909 €/m2,"- 0,3 %","0,031","0,086",2.176 €/m2 nov 2008,"- 12,3 %",mayo 2025
León provincia,1.036 €/m2,"0,011","0,043","0,047",1.351 €/m2 jun 2011,"- 23,3 %",mayo 2025
León,1.600 €/m2,"0,021","0,062","0,125",1.898 €/m2 feb 2011,"- 15,7 %",mayo 2025
Palencia provincia,1.132 €/m2,"0,0 %","0,002","0,016",1.335 €/m2 feb 2012,"- 15,2 %",mayo 2025
Palencia,1.402 €/m2,"0,008","0,027","0,067",1.724 €/m2 ene 2009,"- 18,7 %",mayo 2025
Salamanca provincia,1.417 €/m2,"- 0,7 %","0,003","0,053",1.719 €/m2 mar 2011,"- 17,5 %",mayo 2025
Salamanca,2.091 €/m2,"0,012","0,035","0,151",2.480 €/m2 mar 2008,"- 15,7 %",mayo 2025
Segovia provincia,1.401 €/m2,"- 0,1 %","0,028","0,077",1.601 €/m2 sep 2007,"- 12,5 %",mayo 2025
Segovia,2.026 €/m2,"0,003","0,032","0,142",2.252 €/m2 mar 2009,"- 10,0 %",mayo 2025
