Tipo de jornada;Grupo de edad;Decil;Periodo;Total
Total;Total;Total decil;2023;2.273,01
Total;Total;Total decil;2022;2.118,79
Total;Total;Total decil;2021;2.076,45
Total;Total;Total decil;2020;2.038,59
Total;Total;Total decil;2019;1.982,31
Total;Total;Total decil;2018;1.944,42
Total;Total;Total decil;2017;1.888,95
Total;Total;Total decil;2016;1.878,09
Total;Total;Total decil;2015;1.893,7
Total;Total;Total decil;2014;1.881,32
Total;Total;Total decil;2013;1.869,11
Total;Total;Total decil;2012;1.850,26
Total;Total;Total decil;2011;1.841,75
Total;Total;Total decil;2010;1.838,82
Total;Total;Total decil;2009;1.815,18
Total;Total;Total decil;2008;1.774,34
Total;Total;Total decil;2007;1.643,46
Total;Total;Total decil;2006;1.572,59
Total;Total;1;2023;644,99
Total;Total;1;2022;619,71
Total;Total;1;2021;566,26
Total;Total;1;2020;521,33
Total;Total;1;2019;532,31
Total;Total;1;2018;479,9
Total;Total;1;2017;464,34
Total;Total;1;2016;462,72
Total;Total;1;2015;420,05
Total;Total;1;2014;411,17
Total;Total;1;2013;414,49
Total;Total;1;2012;425,57
Total;Total;1;2011;464,5
Total;Total;1;2010;482,43
Total;Total;1;2009;495,94
Total;Total;1;2008;501,25
Total;Total;1;2007;501,73
Total;Total;1;2006;474,18
Total;Total;2;2023;1.209,64
Total;Total;2;2022;1.132,22
Total;Total;2;2021;1.033,87
Total;Total;2;2020;1.006,63
Total;Total;2;2019;994,51
Total;Total;2;2018;904,87
Total;Total;2;2017;863,9
Total;Total;2;2016;856,88
Total;Total;2;2015;828,96
Total;Total;2;2014;819,61
Total;Total;2;2013;812,18
Total;Total;2;2012;840,19
Total;Total;2;2011;863,82
Total;Total;2;2010;893,11
Total;Total;2;2009;875,93
Total;Total;2;2008;888,73
Total;Total;2;2007;852,21
Total;Total;2;2006;800,67
Total;Total;3;2023;1.434,13
Total;Total;3;2022;1.338,81
Total;Total;3;2021;1.256,84
Total;Total;3;2020;1.236,99
Total;Total;3;2019;1.222,45
Total;Total;3;2018;1.156,51
Total;Total;3;2017;1.121,9
Total;Total;3;2016;1.118,31
Total;Total;3;2015;1.102,14
Total;Total;3;2014;1.100,85
Total;Total;3;2013;1.103,32
Total;Total;3;2012;1.121,65
Total;Total;3;2011;1.128,86
Total;Total;3;2010;1.141,96
Total;Total;3;2009;1.120,03
Total;Total;3;2008;1.113,37
Total;Total;3;2007;1.060,66
Total;Total;3;2006;1.006,02
Total;Total;4;2023;1.631,57
Total;Total;4;2022;1.523,08
Total;Total;4;2021;1.454,95
Total;Total;4;2020;1.423,4
Total;Total;4;2019;1.418,13
Total;Total;4;2018;1.357,44
Total;Total;4;2017;1.323
Total;Total;4;2016;1.325,36
Total;Total;4;2015;1.310,96
Total;Total;4;2014;1.315,48
Total;Total;4;2013;1.318,7
Total;Total;4;2012;1.322,12
Total;Total;4;2011;1.309,99
Total;Total;4;2010;1.316,31
Total;Total;4;2009;1.290,22
Total;Total;4;2008;1.267,34
Total;Total;4;2007;1.203,8
Total;Total;4;2006;1.144,23
Total;Total;5;2023;1.833,97
Total;Total;5;2022;1.708,65
Total;Total;5;2021;1.652,67
Total;Total;5;2020;1.606,91
Total;Total;5;2019;1.595,3
Total;Total;5;2018;1.546,73
Total;Total;5;2017;1.497,73
Total;Total;5;2016;1.498,22
Total;Total;5;2015;1.497,67
Total;Total;5;2014;1.502,97
Total;Total;5;2013;1.503,02
Total;Total;5;2012;1.492,68
Total;Total;5;2011;1.484,84
Total;Total;5;2010;1.478,49
Total;Total;5;2009;1.443,59
Total;Total;5;2008;1.411,69
Total;Total;5;2007;1.337,14
Total;Total;5;2006;1.270,35
Total;Total;6;2023;2.059,54
Total;Total;6;2022;1.913,09
Total;Total;6;2021;1.865,71
Total;Total;6;2020;1.816,81
Total;Total;6;2019;1.793,56
Total;Total;6;2018;1.752,61
Total;Total;6;2017;1.698,01
Total;Total;6;2016;1.703,87
Total;Total;6;2015;1.703,73
Total;Total;6;2014;1.715,14
Total;Total;6;2013;1.703,65
Total;Total;6;2012;1.685,43
Total;Total;6;2011;1.678,8
Total;Total;6;2010;1.667,4
Total;Total;6;2009;1.627,28
Total;Total;6;2008;1.577,72
Total;Total;6;2007;1.491,6
Total;Total;6;2006;1.418,54
Total;Total;7;2023;2.356,69
Total;Total;7;2022;2.181,84
Total;Total;7;2021;2.147,95
Total;Total;7;2020;2.107,38
Total;Total;7;2019;2.058,48
Total;Total;7;2018;2.017,4
Total;Total;7;2017;1.970,29
Total;Total;7;2016;1.969,37
Total;Total;7;2015;1.960,42
Total;Total;7;2014;1.996,68
Total;Total;7;2013;1.979,18
Total;Total;7;2012;1.943,47
Total;Total;7;2011;1.926,53
Total;Total;7;2010;1.916,64
Total;Total;7;2009;1.869,76
Total;Total;7;2008;1.795,61
Total;Total;7;2007;1.703,23
Total;Total;7;2006;1.629,36
Total;Total;8;2023;2.781,79
Total;Total;8;2022;2.592,84
Total;Total;8;2021;2.558,2
Total;Total;8;2020;2.541,41
Total;Total;8;2019;2.446,63
Total;Total;8;2018;2.422,04
Total;Total;8;2017;2.363,15
Total;Total;8;2016;2.355
Total;Total;8;2015;2.363,55
Total;Total;8;2014;2.386,34
Total;Total;8;2013;2.364,47
Total;Total;8;2012;2.304,23
Total;Total;8;2011;2.291,51
Total;Total;8;2010;2.291,37
Total;Total;8;2009;2.240,02
Total;Total;8;2008;2.144,92
Total;Total;8;2007;2.043,02
Total;Total;8;2006;1.960,29
Total;Total;9;2023;3.390,61
Total;Total;9;2022;3.172,78
Total;Total;9;2021;3.142,94
Total;Total;9;2020;3.160,32
Total;Total;9;2019;3.035,46
Total;Total;9;2018;3.006,17
Total;Total;9;2017;2.955,46
Total;Total;9;2016;2.921,88
Total;Total;9;2015;2.964,23
Total;Total;9;2014;2.946,62
Total;Total;9;2013;2.915,77
Total;Total;9;2012;2.851,55
Total;Total;9;2011;2.847,54
Total;Total;9;2010;2.842,26
Total;Total;9;2009;2.818,47
Total;Total;9;2008;2.695,83
Total;Total;9;2007;2.570,05
Total;Total;9;2006;2.447,82
Total;Total;10;2023;5.386,69
Total;Total;10;2022;5.001,97
Total;Total;10;2021;5.083,75
Total;Total;10;2020;4.964,01
Total;Total;10;2019;4.725,47
Total;Total;10;2018;4.799,61
Total;Total;10;2017;4.631,17
Total;Total;10;2016;4.568,68
Total;Total;10;2015;4.784,5
Total;Total;10;2014;4.616,94
Total;Total;10;2013;4.574,92
Total;Total;10;2012;4.515,01
Total;Total;10;2011;4.418,37
Total;Total;10;2010;4.356,53
Total;Total;10;2009;4.370,12
Total;Total;10;2008;4.346,26
Total;Total;10;2007;3.670,83
Total;Total;10;2006;3.573,7
Total;De 16 a 24 años;Total decil;2023;1.387,44
Total;De 16 a 24 años;Total decil;2022;1.318,96
Total;De 16 a 24 años;Total decil;2021;1.222,98
Total;De 16 a 24 años;Total decil;2020;1.207,13
Total;De 16 a 24 años;Total decil;2019;1.184,65
Total;De 16 a 24 años;Total decil;2018;1.091,67
Total;De 16 a 24 años;Total decil;2017;1.065,48
Total;De 16 a 24 años;Total decil;2016;1.029,3
Total;De 16 a 24 años;Total decil;2015;1.042,38
Total;De 16 a 24 años;Total decil;2014;1.030,64
Total;De 16 a 24 años;Total decil;2013;1.032,45
Total;De 16 a 24 años;Total decil;2012;1.040,31
Total;De 16 a 24 años;Total decil;2011;1.118,68
Total;De 16 a 24 años;Total decil;2010;1.181,92
Total;De 16 a 24 años;Total decil;2009;1.174,34
Total;De 16 a 24 años;Total decil;2008;1.173,55
Total;De 16 a 24 años;Total decil;2007;1.138,2
Total;De 16 a 24 años;Total decil;2006;1.083,59
Total;De 16 a 24 años;1;2023;613,41
Total;De 16 a 24 años;1;2022;597,25
Total;De 16 a 24 años;1;2021;551,62
Total;De 16 a 24 años;1;2020;509,81
Total;De 16 a 24 años;1;2019;522,05
Total;De 16 a 24 años;1;2018;476,39
Total;De 16 a 24 años;1;2017;443,49
Total;De 16 a 24 años;1;2016;461,59
Total;De 16 a 24 años;1;2015;427,02
Total;De 16 a 24 años;1;2014;396,44
Total;De 16 a 24 años;1;2013;421,5
Total;De 16 a 24 años;1;2012;429,99
Total;De 16 a 24 años;1;2011;473,55
Total;De 16 a 24 años;1;2010;492,79
Total;De 16 a 24 años;1;2009;474,22
Total;De 16 a 24 años;1;2008;501,35
Total;De 16 a 24 años;1;2007;504,63
Total;De 16 a 24 años;1;2006;471,22
Total;De 16 a 24 años;2;2023;1.212,62
Total;De 16 a 24 años;2;2022;1.120,25
Total;De 16 a 24 años;2;2021;1.028,55
Total;De 16 a 24 años;2;2020;1.000,28
Total;De 16 a 24 años;2;2019;996,99
Total;De 16 a 24 años;2;2018;892,55
Total;De 16 a 24 años;2;2017;853,85
Total;De 16 a 24 años;2;2016;840,2
Total;De 16 a 24 años;2;2015;823,29
Total;De 16 a 24 años;2;2014;803,43
Total;De 16 a 24 años;2;2013;796,26
Total;De 16 a 24 años;2;2012;825,6
Total;De 16 a 24 años;2;2011;863,34
Total;De 16 a 24 años;2;2010;882,46
Total;De 16 a 24 años;2;2009;875,28
Total;De 16 a 24 años;2;2008;883,94
Total;De 16 a 24 años;2;2007;843,17
Total;De 16 a 24 años;2;2006;795,65
Total;De 16 a 24 años;3;2023;1.429,32
Total;De 16 a 24 años;3;2022;1.342,57
Total;De 16 a 24 años;3;2021;1.252,4
Total;De 16 a 24 años;3;2020;1.238,38
Total;De 16 a 24 años;3;2019;1.212,09
Total;De 16 a 24 años;3;2018;1.153,27
Total;De 16 a 24 años;3;2017;1.114,39
Total;De 16 a 24 años;3;2016;1.114,19
Total;De 16 a 24 años;3;2015;1.096,95
Total;De 16 a 24 años;3;2014;1.083,98
Total;De 16 a 24 años;3;2013;1.093,8
Total;De 16 a 24 años;3;2012;1.123,74
Total;De 16 a 24 años;3;2011;1.125,75
Total;De 16 a 24 años;3;2010;1.144,85
Total;De 16 a 24 años;3;2009;1.118,3
Total;De 16 a 24 años;3;2008;1.114,39
Total;De 16 a 24 años;3;2007;1.059,9
Total;De 16 a 24 años;3;2006;1.006,01
Total;De 16 a 24 años;4;2023;1.633,03
Total;De 16 a 24 años;4;2022;1.525,18
Total;De 16 a 24 años;4;2021;1.448,8
Total;De 16 a 24 años;4;2020;1.428,67
Total;De 16 a 24 años;4;2019;1.415,68
Total;De 16 a 24 años;4;2018;1.359,53
Total;De 16 a 24 años;4;2017;1.319,65
Total;De 16 a 24 años;4;2016;1.326,07
Total;De 16 a 24 años;4;2015;1.305,54
Total;De 16 a 24 años;4;2014;1.317,26
Total;De 16 a 24 años;4;2013;1.312,95
Total;De 16 a 24 años;4;2012;1.313,41
Total;De 16 a 24 años;4;2011;1.310,41
Total;De 16 a 24 años;4;2010;1.315,62
Total;De 16 a 24 años;4;2009;1.286,99
Total;De 16 a 24 años;4;2008;1.267,04
Total;De 16 a 24 años;4;2007;1.199,14
Total;De 16 a 24 años;4;2006;1.141,12
Total;De 16 a 24 años;5;2023;1.834,61
Total;De 16 a 24 años;5;2022;1.707,72
Total;De 16 a 24 años;5;2021;1.649,37
Total;De 16 a 24 años;5;2020;1.593,18
Total;De 16 a 24 años;5;2019;1.599,01
Total;De 16 a 24 años;5;2018;1.552,86
Total;De 16 a 24 años;5;2017;1.503,22
Total;De 16 a 24 años;5;2016;1.502,09
Total;De 16 a 24 años;5;2015;1.497,05
Total;De 16 a 24 años;5;2014;1.497,12
Total;De 16 a 24 años;5;2013;1.498,19
Total;De 16 a 24 años;5;2012;1.483,08
Total;De 16 a 24 años;5;2011;1.479,52
Total;De 16 a 24 años;5;2010;1.470,4
Total;De 16 a 24 años;5;2009;1.437,46
Total;De 16 a 24 años;5;2008;1.405,86
Total;De 16 a 24 años;5;2007;1.335,31
Total;De 16 a 24 años;5;2006;1.268,86
Total;De 16 a 24 años;6;2023;2.046,22
Total;De 16 a 24 años;6;2022;1.917,15
Total;De 16 a 24 años;6;2021;1.854,28
Total;De 16 a 24 años;6;2020;1.804,4
Total;De 16 a 24 años;6;2019;1.788,57
Total;De 16 a 24 años;6;2018;1.731,77
Total;De 16 a 24 años;6;2017;1.685,08
Total;De 16 a 24 años;6;2016;1.695,34
Total;De 16 a 24 años;6;2015;1.695,5
Total;De 16 a 24 años;6;2014;1.710,34
Total;De 16 a 24 años;6;2013;1.701,45
Total;De 16 a 24 años;6;2012;1.682,91
Total;De 16 a 24 años;6;2011;1.668,3
Total;De 16 a 24 años;6;2010;1.656,3
Total;De 16 a 24 años;6;2009;1.618,23
Total;De 16 a 24 años;6;2008;1.578,47
Total;De 16 a 24 años;6;2007;1.492,01
Total;De 16 a 24 años;6;2006;1.412,47
Total;De 16 a 24 años;7;2023;2.351,75
Total;De 16 a 24 años;7;2022;2.160,51
Total;De 16 a 24 años;7;2021;2.134,98
Total;De 16 a 24 años;7;2020;2.083,94
Total;De 16 a 24 años;7;2019;2.061,56
Total;De 16 a 24 años;7;2018;2.020,95
Total;De 16 a 24 años;7;2017;1.965,74
Total;De 16 a 24 años;7;2016;1.968,61
Total;De 16 a 24 años;7;2015;1.959,44
Total;De 16 a 24 años;7;2014;1.981,08
Total;De 16 a 24 años;7;2013;1.952,04
Total;De 16 a 24 años;7;2012;1.963,03
Total;De 16 a 24 años;7;2011;1.914,13
Total;De 16 a 24 años;7;2010;1.914,48
Total;De 16 a 24 años;7;2009;1.855,21
Total;De 16 a 24 años;7;2008;1.783,11
Total;De 16 a 24 años;7;2007;1.689,03
Total;De 16 a 24 años;7;2006;1.628,43
Total;De 16 a 24 años;8;2023;2.773,03
Total;De 16 a 24 años;8;2022;2.592,39
Total;De 16 a 24 años;8;2021;2.542,76
Total;De 16 a 24 años;8;2020;2.540,32
Total;De 16 a 24 años;8;2019;2.460,7
Total;De 16 a 24 años;8;2018;2.376,74
Total;De 16 a 24 años;8;2017;2.327,02
Total;De 16 a 24 años;8;2016;2.331,29
Total;De 16 a 24 años;8;2015;2.307,73
Total;De 16 a 24 años;8;2014;2.334,11
Total;De 16 a 24 años;8;2013;2.330,34
