Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Total;Total;2020;18.754,8
Total Nacional;;Total;Total;2019;18.625,7
Total Nacional;;Total;Total;2018;18.535,9
Total Nacional;;Total;Total;2017;18.472,8
Total Nacional;;Total;Total;2016;18.406,1
Total Nacional;;Total;Total;2015;18.346,2
Total Nacional;;Total;Total;2014;18.303,1
Total Nacional;;Total;Total;2013;18.217,3
Total Nacional;;Total;1 persona;2020;4.889,9
Total Nacional;;Total;1 persona;2019;4.793,7
Total Nacional;;Total;1 persona;2018;4.732,4
Total Nacional;;Total;1 persona;2017;4.687,4
Total Nacional;;Total;1 persona;2016;4.638,3
Total Nacional;;Total;1 persona;2015;4.584,2
Total Nacional;;Total;1 persona;2014;4.535,1
Total Nacional;;Total;1 persona;2013;4.412,0
Total Nacional;;Total;2 personas;2020;5.703,7
Total Nacional;;Total;2 personas;2019;5.667,7
Total Nacional;;Total;2 personas;2018;5.633,9
Total Nacional;;Total;2 personas;2017;5.620,7
Total Nacional;;Total;2 personas;2016;5.615,4
Total Nacional;;Total;2 personas;2015;5.606,7
Total Nacional;;Total;2 personas;2014;5.593,0
Total Nacional;;Total;2 personas;2013;5.547,6
Total Nacional;;Total;3 personas;2020;3.845,8
Total Nacional;;Total;3 personas;2019;3.848,9
Total Nacional;;Total;3 personas;2018;3.855,9
Total Nacional;;Total;3 personas;2017;3.860,4
Total Nacional;;Total;3 personas;2016;3.858,0
Total Nacional;;Total;3 personas;2015;3.854,7
Total Nacional;;Total;3 personas;2014;3.853,8
Total Nacional;;Total;3 personas;2013;3.870,3
Total Nacional;;Total;4 personas;2020;3.219,8
Total Nacional;;Total;4 personas;2019;3.233,5
Total Nacional;;Total;4 personas;2018;3.250,2
Total Nacional;;Total;4 personas;2017;3.251,9
Total Nacional;;Total;4 personas;2016;3.245,3
Total Nacional;;Total;4 personas;2015;3.243,2
Total Nacional;;Total;4 personas;2014;3.247,1
Total Nacional;;Total;4 personas;2013;3.278,6
Total Nacional;;Total;5 personas;2020;685,3
Total Nacional;;Total;5 personas;2019;719,0
Total Nacional;;Total;5 personas;2018;801,9
Total Nacional;;Total;5 personas;2017;835,9
Total Nacional;;Total;5 personas;2016;812,0
Total Nacional;;Total;5 personas;2015;818,3
Total Nacional;;Total;5 personas;2014;814,8
Total Nacional;;Total;5 personas;2013;832,8
Total Nacional;;Total;6 personas;2020;252,0
Total Nacional;;Total;6 personas;2019;231,8
Total Nacional;;Total;6 personas;2018;193,7
Total Nacional;;Total;6 personas;2017;160,5
Total Nacional;;Total;6 personas;2016;180,2
